Part Type code,3-letter part code,Location code,Part-location,Part name (EN),Location (EN),Condition label (EN),Severity (1 to 5),Repair label (EN),COST BEFORE TAX,Part name (FR),Location (FR),Condition label (FR),Réparation (FR),Condition code, Repair code,Nomenclature,Angle,VehicleType,Order Front - left - rear -right,Order Front - right - rear - left
cabin,GIC,ARG,,Trunk trim,Rear Left,Accidented,SEV5,Replacement,0,Garniture intérieur coffre / garniture couvercle,Arrière Gauche,Accidenté,Remplacement,accidented,replacement,2026,,,,
cabin,GIC,ARG,,Trunk trim,Rear Left,Damaged,SEV3,Repair,0,Garniture intérieur coffre / garniture couvercle,Arrière Gauche,Endommagé ,Réparation,interior_damaged,repair_interior_damaged,2026,,,,
glass,CST,ARG,CSTARG,Custodes,Rear Left,Damaged,SEV5,Replacement,0,Custodes,Arrière Gauche,Endommagé,Remplacement,glass_impactSEV5,repair_glass_impactSEV5,2025,11-12-13-14,,1232,2353
glass,CST,ARG,CSTARG,Custodes,Rear Left,Cracked,SEV5,Replacement,0,Custodes,Arrière Gauche,Fissuré,Remplacement,glass_cracked,glass_replacement,2025,11-12-13-14,,1232,2353
cabin,GPP,ARG,,Door panel trim,Rear Left,Slightly damaged,SEV1,Quick repair,0,Garniture de panneau de porte,Arrière Gauche,Peu endommagé,Réparation rapide,interior_slightly_damaged,repair_interior_slightly_damaged,2025,,,,
cabin,GPP,ARG,,Door panel trim,Rear Left,Damaged,SEV3,Repair,0,Garniture de panneau de porte,Arrière Gauche,Endommagé ,Réparation,interior_damaged,repair_interior_damaged,2025,,,,
cabin,GPP,ARG,,Door panel trim,Rear Left,Soiled,SEV2,Cleaning,0,Garniture de panneau de porte,Arrière Gauche,Interior Soiled,Sali,interior_soiled,important_washing,2025,,,,
cabin,GPP,ARG,,Door panel trim,Rear Left,Missing,SEV5,Replacement,0,Garniture de panneau de porte,Arrière Gauche,Pièce manquante,Remplacement,interior_missing,replacement,2025,,,,
cabin,HAS,ARG,,Seat cushion cover,Rear Left,Missing,SEV5,Replacement,0,Housse d’assise,Arrière Gauche,Pièce manquante,Remplacement,interior_missing,replacement,2025,,,,
cabin,HAS,ARG,,Seat cushion cover,Rear Left,Damaged,SEV3,Repair,0,Housse d’assise,Arrière Gauche,Endommagé ,Réparation,interior_damaged,repair_interior_damaged,2025,,,,
cabin,HAS,ARG,,Seat cushion cover,Rear Left,Slightly damaged,SEV1,Quick repair,0,Housse d’assise,Arrière Gauche,Peu endommagé,Réparation rapide,interior_slightly_damaged,repair_interior_slightly_damaged,2025,,,,
cabin,HAS,ARG,,Seat cushion cover,Rear Left,Soiled,SEV2,Cleaning,0,Housse d’assise,Arrière Gauche,Interior Soiled,Sali,interior_soiled,important_washing,2025,,,,
cabin,HDS,ARG,,Seat back cover,Rear Left,Missing,SEV5,Replacement,0,Housse de dossier,Arrière Gauche,Pièce manquante,Remplacement,interior_missing,replacement,2025,,,,
cabin,HDS,ARG,,Seat back cover,Rear Left,Damaged,SEV3,Repair,0,Housse de dossier,Arrière Gauche,Endommagé ,Réparation,interior_damaged,repair_interior_damaged,2025,,,,
cabin,HDS,ARG,,Seat back cover,Rear Left,Slightly damaged,SEV1,Quick repair,0,Housse de dossier,Arrière Gauche,Peu endommagé,Réparation rapide,interior_slightly_damaged,repair_interior_slightly_damaged,2025,,,,
cabin,HDS,ARG,,Seat back cover,Rear Left,Soiled,SEV2,Cleaning,0,Housse de dossier,Arrière Gauche,Interior Soiled,Sali,interior_soiled,important_washing,2025,,,,
glass,CST,ARG,CSTARG,Custodes,Rear Left,Damaged,SEV5,Replacement,0,Custodes,Arrière Gauche,Accidenté,Remplacement,accidented,replacement,2025,11-12-13-14,,1232,2353
carbody,MAD,ARG,MADARG,Door Pillar 2,Rear Left,Damaged,SEV4,Sheet Metal Work and Painting,0,Montant de porte 2,Arrière Gauche,Accidenté,Remplacement,accidented,replacement,2026,11-12-13-14,,1233,2354
carbody,MAD,ARG,MADARG,Door Pillar 2,Rear Left,Accidented,SEV5,Replacement,0,Montant de porte 2,Arrière Gauche,Endommagé,Remplacement,damaged_sev5,replacement,2026,11-12-13-14,,1233,2354
carbody,MAD,ARG,MADARG,Door Pillar 2,Rear Left,Damaged,SEV4,Sheet Metal Work and Painting,0,Montant de porte 2,Arrière Gauche,Accidenté,Remplacement,accidented,replacement,2026,11-12-13-14,,1233,2354
carbody,MAD,ARG,MADARG,Door Pillar 2,Rear Left,Accidented,SEV5,Replacement,0,Montant de porte 2,Arrière Gauche,Endommagé,Remplacement,damaged_sev5,replacement,2026,11-12-13-14,,1233,2354
carbody,MAU,ARG,MAUARG,Door Pillar 1,Rear Left,Damaged,SEV4,Sheet Metal Work and Painting,0,Montant de porte 1,Arrière Gauche,Accidenté,Remplacement,accidented,replacement,2026,11-12-13-14,,1234,2355
carbody,MAU,ARG,MAUARG,Door Pillar 1,Rear Left,Accidented,SEV5,Replacement,0,Montant de porte 1,Arrière Gauche,Endommagé,Remplacement,damaged_sev5,replacement,2026,11-12-13-14,,1234,2355
carbody,MAU,ARG,MAUARG,Door Pillar 1,Rear Left,Damaged,SEV4,Sheet Metal Work and Painting,0,Montant de porte 1,Arrière Gauche,Accidenté,Remplacement,accidented,replacement,2026,11-12-13-14,,1234,2355
carbody,MAU,ARG,MAUARG,Door Pillar 1,Rear Left,Accidented,SEV5,Replacement,0,Montant de porte 1,Arrière Gauche,Endommagé,Remplacement,damaged_sev5,replacement,2026,11-12-13-14,,1234,2355
carbody,PHT,ARG,PHTARG,Additional Light,Rear Left,Opaque,SEV1,Renovation,0,PHARE ADDITIONNEL,Arrière Gauche,Opaque,Rénovation,opaque,renovation,2025,9-10-11-12-13-14,,1235,2356
carbody,PHT,ARG,PHTARG,Additional Light,Rear Left,Accidented,SEV5,Replacement,0,PHARE ADDITIONNEL,Arrière Gauche,Accidenté,Remplacement,damaged_sev5,replacement,2025,9-10-11-12-13-14,,1235,2356
glass,VHT,ARG,VHTARG,Hard top glass,Rear Left,Damaged,SEV3,Repair,0,Vitre hard top,Arrière gauche,Endommagé,Réparation,glass_impactSEV3,repair_glass_impactSEV3,2026,9-10-11-12-13-14,,1236,2357
glass,VHT,ARG,VHTARG,Hard top glass,Rear Left,Damaged,SEV5,Replacement,0,Vitre hard top,Arrière gauche,Endommagé,Remplacement,glass_impactSEV5,repair_glass_impactSEV5,2026,9-10-11-12-13-14,,1236,2357
glass,VHT,ARG,VHTARG,Hard top glass,Rear Left,Cracked,SEV5,Replacement,0,Vitre hard top,Arrière gauche,Fissuré,Remplacement,glass_cracked,glass_replacement,2026,9-10-11-12-13-14,,1236,2357
glass,VHT,ARG,VHTARG,Hard top glass,Rear Left,Damaged,SEV5,Replacement,0,Vitre hard top,Arrière gauche,Accidenté,Remplacement,accidented,replacement,2026,9-10-11-12-13-14,,1236,2357
glass,VTD,ARG,VTDARG,Window (2),Rear Left,Damaged,SEV3,Repair,0,Vitre (2),Arrière Gauche,Endommagé,Réparation,glass_impactSEV3,repair_glass_impactSEV3,2026,11-12-13-14,,1237,2358
glass,VTD,ARG,VTDARG,Window (2),Rear Left,Damaged,SEV5,Replacement,0,Vitre (2),Arrière Gauche,Endommagé,Remplacement,glass_impactSEV5,repair_glass_impactSEV5,2026,11-12-13-14,,1237,2358
glass,VTD,ARG,VTDARG,Window (2),Rear Left,Cracked,SEV5,Replacement,0,Vitre (2),Arrière Gauche,Fissuré,Remplacement,glass_cracked,glass_replacement,2026,11-12-13-14,,1237,2358
glass,VTD,ARG,VTDARG,Window (2),Rear Left,Damaged,SEV5,Replacement,0,Vitre (2),Arrière Gauche,Accidenté,Remplacement,accidented,replacement,2026,11-12-13-14,,1237,2358
glass,VTR,ARG,VTRARG,Window,Rear Left,Damaged,SEV3,Repair,0,Vitre,Arrière Gauche,Endommagé,Réparation,glass_impactSEV3,repair_glass_impactSEV3,2025,11-12-13-14,,1238,2359
glass,VTR,ARG,VTRARG,Window,Rear Left,Damaged,SEV5,Replacement,0,Vitre,Arrière Gauche,Endommagé,Remplacement,glass_impactSEV5,repair_glass_impactSEV5,2025,11-12-13-14,,1238,2359
glass,VTR,ARG,VTRARG,Window,Rear Left,Cracked,SEV5,Replacement,0,Vitre,Arrière Gauche,Fissuré,Remplacement,glass_cracked,glass_replacement,2025,11-12-13-14,,1238,2359
glass,VTR,ARG,VTRARG,Window,Rear Left,Damaged,SEV5,Replacement,0,Vitre,Arrière Gauche,Accidenté,Remplacement,accidented,replacement,2025,11-12-13-14,,1238,2359
carbody,MLP,ARG,MLPARG,Door molding,Rear Left,Accidented,SEV5,Replacement,0,Moulure de porte,Arrière Gauche,Accidenté,Remplacement,accidented,replacement,2026,11-12-13-14,,1240,2360
carbody,PGN,ARG,PGNARG,Handle,Rear Left,scuffed,SEV1,Polish,0,POIGNÉE,Arrière Gauche,Éraflé,Polish,scuffed,polish,2025,11-12-13-14,,1250,2400
carbody,PGN,ARG,PGNARG,Handle,Rear Left,scratched,SEV3,Painting,0,POIGNÉE,Arrière Gauche,Rayé,Peinture,scratched,painting,2025,11-12-13-14,,1250,2400
carbody,PGN,ARG,PGNARG,Handle,Rear Left,damaged,SEV4,Sheet Metal Work and Painting,0,POIGNÉE,Arrière Gauche,Endommagé,Tôlerie Peinture,damaged,sheet_metal_work_and_painting,2025,11-12-13-14,,1250,2400
carbody,PGN,ARG,PGNARG,Handle,Rear Left,accidented,SEV5,Replacement,0,POIGNÉE,Arrière Gauche,Accidenté,Remplacement,accidented,replacement,2025,11-12-13-14,,1250,2400
carbody,EXT,ARG,EXTARG,Wing extension,Rear Left,scuffed,SEV1,Polish,0,EXTENSION D'AILE,Arrière Gauche,Éraflé,Polish,scuffed,polish,2025,11-12-13-14,,1260,2730
carbody,EXT,ARG,EXTARG,Wing extension,Rear Left,scratched,SEV3,Painting,0,EXTENSION D'AILE,Arrière Gauche,Rayé,Peinture,scratched,painting,2025,11-12-13-14,,1260,2730
carbody,EXT,ARG,EXTARG,Wing extension,Rear Left,accidented,SEV5,Replacement,0,EXTENSION D'AILE,Arrière Gauche,Accidenté,Remplacement,accidented,replacement,2025,11-12-13-14,,1260,2730
carbody,AIL,ARG,AILARG,Wing,Rear Left,Paintwork needed,SEV3,Painting,0,AILE,Arrière Gauche,A repeindre,Peinture,paintwork_required,painting,2026,11-12-13-14,,1270,2710
carbody,AIL,ARG,AILARG,Wing,Rear Left,Rust spotted,SEV4,Sheet Metal Work and Painting,0,AILE,Arrière Gauche,Rouillé,Tôlerie Peinture,rusty,sheet_metal_work_and_painting,2026,11-12-13-14,,1270,2710
carbody,AIL,ARG,AILARG,Wing,Rear Left,scuffed,SEV1,Polish,0,AILE,Arrière Gauche,Éraflé,Polish,scuffed,polish,2025,11-12-13-14,,1270,2710
carbody,AIL,ARG,AILARG,Wing,Rear Left,scratched,SEV3,Painting,0,AILE,Arrière Gauche,Rayé,Peinture,scratched,painting,2025,11-12-13-14,,1270,2710
carbody,AIL,ARG,AILARG,Wing,Rear Left,damaged,SEV4,Sheet Metal Work and Painting,0,AILE,Arrière Gauche,Endommagé,Tôlerie Peinture,damaged,sheet_metal_work_and_painting,2025,11-12-13-14,,1270,2710
carbody,AIL,ARG,AILARG,Wing,Rear Left,slightly damaged,SEV3,Quick repair,0,AILE,Arrière Gauche,Peu endommagé,Réparation rapide,slightly damaged,quick_reparation,2025,11-12-13-14,,1270,2710
carbody,AIL,ARG,AILARG,Wing,Rear Left,accidented,SEV5,Replacement,0,AILE,Arrière Gauche,Accidenté,Remplacement,accidented,replacement,2025,11-12-13-14,,1270,2710
carbody,BGA,ARG,BGAARG,Wing Side molding,Rear Left,Accidented,SEV5,Replacement,0,BAGUETTE D'AILE,Arrière Gauche,Accidenté,Remplacement,accidented,replacement,2026,11-12-13-14,,1280,2720
